id;semt_bucak_belde;ilce_id
252;BAHÇELİEVLER;951
253;BAHÇELİEVLER;967
254;BAHÇESARAY;108
255;BAHÇEŞEHİR;119
256;BAHŞILI;109
257;BAKIR;552
258;BAKLALI;74
259;BAKLALI;780
260;BAKLAN;111
261;BALA;112
262;BALAT;345
263;BALAT;703
264;BALCI;721
265;BALÇOVA;113
266;BALGAT;201
267;BALIKÇILARBAŞI;836
268;BALIKLI;724
269;BALIKLIOVA;914
270;BALIŞEYH;114
271;BALYA;115
272;BANARLI;841
273;BANAZ;116
274;BANDIRMA;117
275;BARBAROS;637
276;BARBAROS;841
277;BARBAROS;951
278;BARIŞ;23
279;BASKİL;118
280;BASMANE;565
281;BAŞAKŞEHİR;119
282;BAŞÇİFTLİK;120
283;BAŞİSKELE;121
284;BAŞKALE;122
285;BAŞMAKÇI;123
286;BAŞPINAR;539
287;BAŞYAYLA;124
288;BATIKENT;945
289;BATLAMA;643
290;BATTALGAZİ;125
291;BATTALGAZİ;620
292;BAYAT;126
293;BAYAT;127
294;BAYAZIT;345
295;BAYBURT;665
296;BAYDEMİRLİ;295
297;BAYINDIR;128
298;BAYIR;674
299;BAYKAN;129
300;BAYRAKLI;130
301;BAYRAMİÇ;131
302;BAYRAMÖREN;132
303;BEBEK;139
304;BEKİLLİ;134
305;BELEN;135
306;BELKIS;321
307;BELÖREN;374
308;BELSİN;620
309;BEREKETLİ;762
310;BERGAMA;136
311;BESNİ;137
312;BEŞBİNEVLER;674
313;BEŞEVLER;703
314;BEŞİKDÜZÜ;138
315;BEŞİRİ;140
316;BEŞİRLİ;719
317;BEYAĞAÇ;141
318;BEYAZIT;959
319;BEYAZŞEHİR;562
320;BEYCİK;541
321;BEYCİLER;677
322;BEYCUMA;663
323;BEYDAĞ;142
324;BEYDAĞI;125
325;BEYDEĞİRMENİ;868
326;BEYHANI;733
327;BEYKOZ;143
328;BEYKÖY;677
329;BEYLERBEYİ;855
330;BEYLERBEYİ;920
331;BEYLİKDÜZÜ;144
332;BEYLİKOVA;145
333;BEYOBA;24
334;BEYPAZARI;147
335;BEYŞEHİR;148
336;BEYTÜŞŞEBAP;149
337;BEYYAZI;628
338;BİGA;150
339;BİGADİÇ;151
340;BİLECİK;632
341;BİLKENT;201
342;BİNEVLER;714
343;BİNGÖL;633
344;BİRECİK;152
345;BİRLİK;201
346;BİSMİL;153
347;BİTLİS;634
348;BODRUM;154
349;BOĞAZİÇİ;611
350;BOĞAZİÇİ;677
351;BOĞAZKALE;155
352;BOĞAZKÖY;74
353;BOĞAZLIYAN;156
354;BOLLUCA;74
355;BOLVADİN;157
356;BOR;158
357;BORÇKA;159
358;BORNOVA;160
359;BOSNA;796
360;BOSTANBAŞI;956
361;BOSTANCI;483
362;BOSTANCI;719
363;BOYABAT;161
364;BOZCAADA;162
365;BOZDOĞAN;163
366;BOZKIR;164
367;BOZKURT;165
368;BOZKURT;166
369;BOZKURT;864
370;BOZOVA;167
371;BOZTEPE;168
372;BOZTEPE;719
373;BOZÜYÜK;169
374;BOZYAZI;170
375;BÖLÜKYAZI;634
376;BÖREKÇİLER;651
377;BUCA;171
378;BUCAK;172
379;BULANCAK;174
380;BULANIK;175
381;BULDAN;176
382;BULGURLU;920
383;BURGAZADA;6
384;BURHANİYE;177
385;BURUK;780
386;BÜNYAN;178
387;BÜYÜKADA;6
388;BÜYÜKBAKKALKÖY;610
389;BÜYÜKBELEN;789
390;BÜYÜKÇAVUŞLU;810
391;BÜYÜKÇEKMECE;179
392;BÜYÜKÇİĞLİ;238
393;BÜYÜKDERBENT;525
394;BÜYÜKDERE;708
395;BÜYÜKDERE;787
396;BÜYÜKKARIŞTIRAN;604
397;BÜYÜKKÖY;215
398;BÜYÜKLÜ;877
399;BÜYÜKMANGIT;182
400;BÜYÜKORHAN;180
401;BÜYÜKYENİCE;477
402;CADDEBOSTAN;483
403;CAFERAĞA;483
404;CAMİCEDİT;653
405;CAMİİŞERİF;23
406;CAMİNUR;868
407;CANİK;181
408;CANLI;128
409;CEBECİ;201
410;CEBRAİL;648
411;CELALİYE(KAMİLOBA);179
412;CEMALPAŞA;486
413;CEMRE;526
414;CENKYERİ;822
415;CEVATPAŞA;637
416;CEVİZLİ;30
417;CEVİZLİ;610
418;CEVİZLİK;110
419;CEVİZLİK;863
420;CEYHAN;182
421;CEYLANPINAR;183
422;CİDE;184
423;CİHANBEYLİ;185
424;CİHANGİR;146
425;CİZRE;186
426;CUMAYERİ;187
427;CUMHURİYE;879
428;CUMHURİYET;473
429;CUMHURİYET;523
430;CUMHURİYET;661
431;CUMHURİYET;796
432;CUMHURİYET;864
433;CUMHURİYET;920
434;CUMHURİYET;950
435;CUMHURİYET;951
436;ÇAĞIŞ;151
437;ÇAĞLAYAN;487
438;ÇAĞLAYANCERİT;188
439;ÇAKIRHÜYÜK;137
440;ÇAKMAK;917
441;ÇAL;189
442;ÇALDIRAN;190
443;ÇALI;703
444;ÇALIŞ;87
445;ÇAMARDI;191
446;ÇAMAŞ;192
447;ÇAMÇEŞME;746
448;ÇAMDİBİ;160
449;ÇAMELİ;193
450;ÇAMLICA;879
451;ÇAMLIDERE;194
452;ÇAMLIHEMŞİN;195
453;ÇAMLIYAYLA;196
454;çamlıyaylamah.;868
455;ÇAMOLUK;197
456;ÇAMYUVA;541
457;ÇAN;198
458;ÇANAKÇI;199
459;ÇANDIR;200
460;ÇANKAYA;23
461;ÇANKAYA;201
462;ÇANTA;810
463;ÇARDAK;202
464;ÇARŞAMBA;203
465;ÇARŞI;304
466;ÇARŞI;343
467;ÇARŞI;479
468;ÇARŞI;620
469;ÇARŞI;628
470;ÇARŞI;638
471;ÇARŞI;650
472;ÇARŞI;653
473;ÇARŞI;658
474;ÇARŞI;664
475;ÇARŞI;668
476;ÇARŞI;691
477;ÇARŞI;724
478;ÇARŞI;746
479;ÇARŞI;815
480;ÇARŞI;856
481;ÇARŞI;900
482;ÇARŞIBAŞI;204
483;ÇAT;205
484;ÇATAK;206
485;ÇATALCA;207
486;ÇATALPINAR;208
487;ÇATALZEYTİN;209
488;ÇAVDARHİSAR;210
489;ÇAVDIR;211
490;ÇAVUŞBAŞI;143
491;ÇAVUŞLU;890
492;ÇAVUŞOĞLU;956
493;ÇAY;212
494;ÇAYBAŞI;213
495;ÇAYBAŞI;889
496;ÇAYCUMA;214
497;ÇAYELİ;215
498;ÇAYIRALAN;216
499;ÇAYIRLI;217
500;ÇAYIROVA;218
501;ÇAYKARA;219
502;ÇAYLAR;923
503;ÇAYYOLU;201
504;ÇEKEREK;220
505;ÇEKİRGE;724
506;ÇEKMEKÖY;221
507;ÇELEBILER;646
508;ÇELEBİ;222
509;ÇELİKHAN;223
510;ÇELİKTEPE;487
511;ÇELTİK;224
512;ÇELTİKÇİ;225
513;ÇEMİŞGEZEK;226
514;ÇENGELKÖY;920
515;ÇEPNİ;361
516;ÇERKEŞ;227
517;ÇERKEZKÖY;228
518;ÇERMİK;229
519;ÇEŞME;230
520;ÇEŞMEALTI;914
521;ÇEŞMEBAŞI;734
522;ÇEŞMEDAMI;636
523;ÇEŞTEPE;304
524;ÇIĞLI;245
525;ÇIKSORUT;855
526;ÇILDIR;231
527;ÇINAR;232
528;ÇINARCIK;233
529;ÇINARDERE;746
530;ÇIRÇIR;342
531;ÇIRPI;128
532;ÇIRPICI;969
533;ÇİÇEKDAĞI;234
534;ÇİÇEKLİ;387
535;ÇİFTELER;235
536;ÇİFTLİKKÖY;237
537;ÇİĞLİ;238
538;ÇİLİMLİ;239
539;ÇİNE;240
540;ÇİVRİL;241
541;ÇOBANLAR;242
542;ÇOKAK;60
543;ÇOLAKLI;612
544;ÇORLU;243
545;ÇORUK;177
546;ÇÖPKÖY;916
547;ÇUBUK;244
548;ÇUBUKDAĞI;173
549;ÇUBUKLU;143
550;ÇUKUR;731
551;ÇUKURCA;245
552;ÇUKURHİSAR;879
553;ÇUMRA;247
