mahalle;semt_bucak_belde_id
ORUÇLU MAH.;57
PAŞALI MAH.;57
SÜPHANDERE MAH.;57
ŞAHMURATLI MAH.;57
TENKERLİ MAH.;57
TOKMANAKLI MAH.;57
TORTULU MAH.;57
UĞURLUBAĞ MAH.;57
YAYLAPINAR MAH.;57
YEREBAKAN MAH.;57
BELENKÖY MAH.;742
GÖKÇELİ MAH.;742
İSLAM MAH.;742
KARACAOĞLAN MAH.;742
KARACAUŞAĞI MAH.;742
KAZANCI MAH.;742
KEKLİKÇİ MAH.;742
SÜLEMİŞLİ MAH.;742
YEŞİL DÜŞMÜŞ MAH.;742
ADALET MAH.;1007
CUMHURİYET MAH.;1007
FATİH MAH.;1007
HÜRRİYET MAH.;1007
MENTEŞ MAH.;1007
TUNA MAH.;1007
AĞZIKARACA MAH.;2053
ALAYBEYİ MAH.;2053
ALİLER MAH.;2053
AYVALI MAH.;2053
CAMİLİ MAH.;2053
ÇÖRTEN MAH.;2053
DANACILI MAH.;2053
HACIHASANLI MAH.;2053
KOYUNEVİ MAH.;2053
MALIHIDIRLI MAH.;2053
OTLUK MAH.;2053
PEKMEZCİ MAH.;2053
SAYCA MAH.;2053
SAYGEÇİT MAH.;2053
SEVİNÇLİ MAH.;2053
SOKUTAŞ MAH.;2053
UFACIKÖREN MAH.;2053
ULUÇINAR MAH.;2053
ÜÇTEPE MAH.;2053
YAZITEPE MAH.;2053
YENİEVLER MAH.;2053
AKÇALI MAH.;1101
AKTAŞ MAH.;1101
ALTINOVA MAH.;1101
AŞAĞIBELEMEDİK MAH.;1101
AŞAĞIYÖRÜKLER MAH.;1101
AYAKKIF MAH.;1101
BARAKDAĞI MAH.;1101
BAŞKIF MAH.;1101
BEKİRLİ MAH.;1101
BEYDEMİR MAH.;1101
BOLACALI MAH.;1101
BUCAK MAH.;1101
ÇAKALLI MAH.;1101
ÇATALAN MAH.;1101
ÇECELİ MAH.;1101
ÇEVLİK MAH.;1101
ÇOCUKLAR MAH.;1101
ÇORLU MAH.;1101
ÇUKUR MAH.;1101
DEMİRÇİT MAH.;1101
DÖŞEKEVİ MAH.;1101
DURAK MAH.;1101
EĞLENCE MAH.;1101
EMELCİK MAH.;1101
ETEKLİ MAH.;1101
FETTAHLI MAH.;1101
FİLİKLİ MAH.;1101
GİLDİRLİ MAH.;1101
GÖKHASANLI MAH.;1101
GÜLÜŞLÜ MAH.;1101
GÜVENÇ MAH.;1101
HACILI MAH.;1101
HACIMUSALI MAH.;1101
KALEDAĞI MAH.;1101
KAPIKAYA MAH.;1101
KARAHASANLI MAH.;1101
KARAKILIÇ MAH.;1101
KARAKUYU MAH.;1101
KARAPINAR MAH.;1101
KIRALAN MAH.;1101
KIRIKLI MAH.;1101
KOCAVELİLER MAH.;1101
KÖRÜKLÜ MAH.;1101
KUŞCUSOFULU MAH.;1101
KUYUCU MAH.;1101
KUZGUN MAH.;1101
MARAŞLI MAH.;1101
MERKEZBOZTAHTA MAH.;1101
MURTÇUKURU MAH.;1101
NERGİZLİK MAH.;1101
NUHLU MAH.;1101
ÖMERLİ MAH.;1101
SADIKALİ MAH.;1101
SARIMEHMETLİ MAH.;1101
SAYPINAR MAH.;1101
SELAMPINAR MAH.;1101
TATIK MAH.;1101
TOPAKTAŞ MAH.;1101
TOPKARALI MAH.;1101
TORUNSOLAKLI MAH.;1101
TÜMENLİ MAH.;1101
YAZIBAŞI MAH.;1101
ADALI MAH.;1121
ATAKÖY MAH.;1121
BAHÇE MAH.;1121
BEBELİ MAH.;1121
